Sensor #3 initiated. starting percentage: 78,7%, years running: 2,1, waiting 249 (simulated) seconds
Sensor #1 initiated. starting percentage: 96,5%, years running: 0,3, waiting 134 (simulated) seconds
Sensor #2 initiated. starting percentage: 57,0%, years running: 4,3, waiting 106 (simulated) seconds
Sensor #2 started.
Sensor #1 started.
Sensor #3 started.
Sensor #1 switched to 'low. Years running: 0,3, percentage left 96,5%'
Sensor #2 switched to 'low. Years running: 4,3, percentage left 56,9%'
Sensor #3 switched to 'low. Years running: 2,1, percentage left 78,6%'
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 19, queued: 0
Processed: 21, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 19, queued: 0
Processed: 21, queued: 0
Processed: 19, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Sensor #1 has stopped. Years running 10,0
Processed: 8, queued: 0
Processed: 0, queued: 0
Processed: 0, queued: 0
Processed: 0, queued: 0
Processed: 0, queued: 0
Processed: 0, queued: 0
Processed: 0, queued: 0
Processed: 0, queued: 0
Processed: 0, queued: 0
Processed: 0, queued: 0
Processed: 0, queued: 0
